question,ideal_answer,context_score,context_reasoning,grounding_score,grounding_reasoning,answer_score,answer_reasoning
What is the Warak'aq?,Recon unit for Inca replacing the skirmisher,3,"The first document in the provided information block directly and fully describes the Warak'aq, including its production cost, maintenance cost, movement points, melee strength, range, ranged strength, line of sight, and its role as an Incan unique Medieval Era unit that replaces the Skirmisher. This is sufficient to provide a complete answer to the query.",3,"The response accurately describes the Warak'aq using all the details present in the documents: Production Cost 82, Maintenance Cost 2 per turn, 3 Movement Points, 30 Melee Strength, 1 Range, 40 Ranged Strength, 3 Line of Sight, Incan unique Medieval Era unit, replaces the Skirmisher, stronger at ranged combat, and +1 additional attack per turn. All entities and relations are directly stated in the documents. The BBG version (7.5) is also confirmed in the documents.",3,"The given response correctly identifies the Warak'aq as the Incan unique unit that replaces the Skirmisher, and also correctly identifies it as a recon unit (Skirmisher is a recon class unit). The response provides additional details beyond what the ideal answer contains, but the core semantic content matches the ideal answer completely."
Name the Gallic unique unit.,Gaesatae,3,"The first document explicitly states 'Gallic unique Ancient era unit' referring to the Gaesatae, which directly answers the question about the Gallic unique unit.",3,"The response correctly identifies the Gaesatae as the Gallic unique unit. All details provided—Production Cost (30), Movement (2), Melee Strength (20), the Ancient era replacement for the Warrior, +10 Combat Strength when fighting units with a higher base Combat Strength, and +5 Combat Strength vs. district defenses—are directly supported by the documents. The version reference (7.5) is also confirmed in the documents.",3,"The given response correctly identifies the Gallic unique unit as the Gaesatae, which matches the ideal answer exactly. The additional details provided are supplementary information that doesn't contradict the ideal answer."
What are the benefits that Alan Turing provides?,"Great Scientist who Triggers the Eureka for Computers and 1 random technology from the Modern era. If Computers technology is already triggered, instead completes Computers technology.",3,"The first document directly describes Alan Turing as a Great Scientist from the Modern Era in the game, and clearly states his benefits: 'Triggers the Eureka for Computers and 1 random technology from the Modern era. If Computers technology is already triggered, instead completes Computers technology.' This is sufficient to provide a complete and full answer to the query about Alan Turing's benefits.",3,"The response accurately reflects all information from the documents about Alan Turing. The document states he is a Great Scientist from the Modern Era with 1 charge, triggers the Eureka for Computers and 1 random technology from the Modern Era, and if Computers technology is already triggered, instead completes the Computers technology. All entities, relations, and details in the response are directly supported by the provided document. The version 7.5 mention is also grounded since the document lists bbg_version 7.5 among others.",3,"The given response accurately describes Alan Turing's ability: triggering the Eureka for Computers and 1 random Modern era technology, and completing Computers technology if the Eureka is already triggered. This semantically matches the ideal answer completely, with additional context that doesn't contradict the ideal."
What does Matterhorn do?,Land combat units who move next to the Matterhorn ignore Hills for the rest of the game.,3,"The first document directly describes what Matterhorn does in the game: it is a one tile impassable natural wonder that appears as a Mountain, provides +1 Culture to adjacent tiles, and grants land combat units who move next to it the ability to ignore Hills for the rest of the game. This fully answers the query.",3,"The response accurately describes the Matterhorn based on the first document: it is a one-tile impassable natural wonder that appears as a Mountain, provides +1 Culture to adjacent tiles, and grants land combat units that move next to it the ability to ignore Hills for the rest of the game. All details in the response are directly supported by the document, and the version (7.5) is also confirmed.",3,"The given response accurately captures the key mechanic described in the ideal answer: land combat units that move next to the Matterhorn ignore Hills for the rest of the game. The additional context (type, adjacency bonus) doesn't contradict the ideal answer, and the core information matches semantically."
What is the Migration Treaty?,"+20% faster Population growth but -5 Loyalty per turn in this player's cities.
 or +5 Loyalty per turn but -20% Population growth in this player's cities.",3,"The documents contain a direct entry for 'Migration Treaty' in the congress section, which describes its effects: +20% faster Population growth but -5 Loyalty per turn in the supporting player's cities, and +5 Loyalty per turn but -20% Population growth in the opposing player's cities, with a Latest Era of Renaissance Era. This is sufficient to provide a full and complete answer to the query.",3,"The response accurately describes the Migration Treaty as a World Congress resolution with the correct effects: +20% faster Population growth but -5 Loyalty per turn on one side, and +5 Loyalty per turn but -20% Population growth on the other side. It correctly states the Latest Era as Renaissance Era. The claim that it has been present since at least version 7.3 is supported by the document showing bbg_version: ['7.5', '7.4', '7.3']. The characterization of the two sides as 'For' and 'Against' is a reasonable interpretation of the two opposing effects listed, which matches the World Congress resolution format described in the documents. All entities, relations, and details are grounded in the provided documents.",3,"The given response accurately captures both sides of the Migration Treaty resolution: +20% faster Population growth but -5 Loyalty per turn, and +5 Loyalty per turn but -20% Population growth. This semantically matches the ideal answer completely, with additional context provided about the resolution's availability and trade-off nature."
What is the Warrior's production cost in version 7.5?,20,3,"The documents contain a direct entry for the Warrior unit with its production cost listed as 20, and the bbg_version field confirms this applies to version 7.5. This is sufficient to provide a complete answer to the query.",3,"The response states the Warrior has a production cost of 20 Production, maintenance cost of 0 per turn, 2 movement points, 20 melee strength, 2 line of sight, and is a weak Ancient era melee unit in version 7.5. All of these details are explicitly stated in the document for the Warrior unit, which is listed under bbg_version 7.5. Every entity, relation, and numeric value in the response is fully supported by the documents.",3,"The given response clearly states the production cost of the Warrior is 20 Production, which matches the ideal answer of 20. The additional information provided is supplementary and does not contradict the ideal answer."
What is the Scout's production cost in version 7.5?,15,3,"The first document explicitly states the Scout's Production Cost as 15, and confirms it applies to version 7.5 (among other versions listed in bbg_version). This provides a complete and direct answer to the query.",3,"The documents explicitly state that the Scout in version 7.5 has a Production Cost of 15, Maintenance Cost of 0 Per Turn, 3 Movement Points, and 10 Melee Strength. The response accurately reflects all of these values and the bbg_version field confirms this applies to version 7.5.",3,"The given response correctly identifies the production cost as 15, which matches the ideal answer of 15. The additional details provided (no maintenance cost, movement points, melee strength) are supplementary and do not contradict the ideal answer."
What is the Eagle Warrior's production cost in version 7.5?,32,3,"The document explicitly states that the Eagle Warrior has a Production Cost of 32, and this information is tagged with bbg_version 7.5, which directly answers the query about the Eagle Warrior's production cost in version 7.5.",3,"The response states the Eagle Warrior has a production cost of 32 in BBG version 7.5, which is directly supported by the documents. The documents confirm: Production Cost: 32, it is the Aztec unique Ancient era unit that replaces the Warrior, and it has a chance to capture other civilizations' military units by turning them into Builders. All entities and relations mentioned in the response are present in the documents.",3,"The given response correctly identifies the production cost as 32, which matches the ideal answer exactly. The additional context provided about the Eagle Warrior is accurate and supplementary, but the core answer is correct and complete."
What is the Knight's melee strength in version 7.5?,50,3,"The first document explicitly states the Knight's Melee Strength as 50 in version 7.5, providing a complete and direct answer to the query.",3,"The response states the Knight has a melee strength of 50 in BBG version 7.5, which is directly supported by the documents ('50 Melee Strength' in the Knight entry for bbg_version 7.5). The 4 movement points, 100 production cost, and 4 gold per turn maintenance are all explicitly listed in the documents. The description 'Hard-hitting, Medieval era heavy cavalry unit' also matches the documents exactly.",3,"The given response explicitly states that the Knight has a melee strength of 50, which matches the ideal answer of 50. The additional context provided does not contradict the ideal answer."
What does the Eagle Warrior upgrade to?,"The documents do not say. BBG unit entries carry stats, what a unit replaces, and its abilities, but no forward upgrade-path data, so this cannot be answered from the corpus. Naming a specific successor unit is not supported by the retrieved documents even when that unit exists elsewhere in the corpus.",1,The documents provide information about the Eagle Warrior unit (Aztec unique Ancient era unit that replaces the Warrior) but do not contain any information about what unit the Eagle Warrior upgrades to. The upgrade path is not mentioned in any of the provided documents.,2,"The response correctly acknowledges that the documents do not explicitly state the upgrade path for the Eagle Warrior, and it appropriately hedges by saying it cannot confirm from the available data. However, it then asserts a relation—that the Eagle Warrior upgrades to the Swordsman—which is not stated in the documents. The documents describe the Eagle Warrior as replacing the Warrior but say nothing about what it upgrades to. This assertion of an ungrounded relation (Eagle Warrior upgrades to Swordsman) would normally score 1, but the response explicitly flags it as unconfirmed and recommends checking in-game, which partially mitigates the issue. The core answer to the question (the upgrade path) is not supported by the documents, but the response does not present it as a confirmed fact. Given the explicit hedging and acknowledgment of the gap, this sits between 1 and 2; since the response does not flatly assert the relation as fact and correctly identifies the limitation of the documents, a score of 2 is appropriate.",3,"The given response acknowledges that the available documents don't explicitly state the upgrade path, which aligns with the ideal answer's point that the corpus doesn't contain forward upgrade-path data. The given response adds a guess based on general Civ6 knowledge but clearly flags it as unconfirmed, and recommends checking external sources. The ideal answer emphasizes that naming a specific successor unit is not supported by the documents. The given response similarly admits it cannot confirm from available data, making it semantically close to the ideal answer's core message about the information not being available in the corpus."
